"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2024","24,507.79","24,486.37","24,571.26","24,428.10","179.92M","-0.22%"
"10/29/2024","24,562.55","24,542.83","24,591.36","24,461.86","201.02M","-0.01%"
"10/28/2024","24,565.66","24,456.85","24,598.96","24,406.43","220.37M","0.42%"
"10/25/2024","24,463.67","24,546.99","24,606.92","24,435.83","171.03M","-0.36%"
"10/24/2024","24,551.55","24,557.07","24,590.52","24,372.34","212.93M","-0.09%"
"10/23/2024","24,573.62","24,675.40","24,708.98","24,453.40","184.29M","-0.58%"
"10/22/2024","24,716.70","24,681.45","24,724.53","24,565.21","178.58M","-0.03%"
"10/21/2024","24,723.33","24,838.23","24,922.92","24,692.09","219.49M","-0.40%"
"10/18/2024","24,822.54","24,714.13","24,850.15","24,697.95","231.85M","0.53%"
"10/17/2024","24,690.48","24,602.25","24,704.44","24,602.25","219.05M","0.53%"
"10/16/2024","24,561.20","24,469.03","24,603.11","24,469.03","230.57M","0.50%"
"10/15/2024","24,439.08","24,459.16","24,479.22","24,357.87","278.93M","-0.13%"
"10/11/2024","24,471.17","24,302.28","24,520.26","24,302.28","227.98M","0.70%"
"10/10/2024","24,302.26","24,176.40","24,315.49","24,134.87","254.99M","0.32%"
"10/09/2024","24,224.90","24,043.69","24,230.05","24,009.45","182.14M","0.63%"
"10/08/2024","24,072.51","24,076.44","24,083.13","23,969.27","207.90M","-0.13%"
"10/07/2024","24,102.71","24,137.87","24,173.06","23,988.17","256.82M","-0.25%"
"10/04/2024","24,162.83","24,044.64","24,179.28","24,044.64","229.68M","0.81%"
"10/03/2024","23,968.50","23,966.66","23,982.24","23,823.96","209.44M","-0.14%"
"10/02/2024","24,001.55","24,068.53","24,113.27","23,951.19","203.00M","-0.13%"
"10/01/2024","24,033.99","23,982.87","24,065.82","23,875.68","251.22M","0.14%"
"09/30/2024","24,000.37","23,901.47","24,010.80","23,824.16","235.53M","0.18%"
"09/27/2024","23,956.82","24,041.12","24,075.56","23,955.58","330.88M","-0.32%"
"09/26/2024","24,033.83","23,943.55","24,107.00","23,943.55","251.13M","0.54%"
"09/25/2024","23,905.88","23,938.33","23,962.14","23,876.65","209.81M","-0.19%"
"09/24/2024","23,952.22","23,931.35","24,011.19","23,919.51","222.32M","0.24%"
"09/23/2024","23,894.71","23,877.24","23,961.44","23,807.70","299.27M","0.11%"
"09/20/2024","23,867.37","23,875.09","23,883.39","23,740.37","742.79M","0.00%"
"09/19/2024","23,866.27","23,756.31","23,909.53","23,729.40","249.65M","1.16%"
"09/18/2024","23,592.60","23,672.34","23,780.22","23,557.38","239.77M","-0.36%"
