trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,3.3739663023664295e-05,64,15,0.5980486756009298,0.4864745632699872,4,8,128,32,TensorBase(0.0451)
1,0.02452979864519257,16,18,0.008148382237916807,0.62757975127079,3,16,128,32,TensorBase(0.0494)
2,0.004392106016887642,128,17,0.008920552240586587,0.4388200503629545,6,4,64,512,TensorBase(0.0314)
3,0.004306504531568391,32,3,0.392151253105739,0.06685582936134707,4,4,32,64,TensorBase(0.0331)
4,0.07466114682307506,64,19,0.5587705998588328,0.6395007450778892,2,8,32,256,TensorBase(0.1031)
5,0.0002590466152346353,32,12,0.4660503610699504,0.3654837909938079,3,16,32,32,TensorBase(0.0366)
6,0.016042108684089527,128,2,0.600682546980545,0.2409131312841076,3,32,32,256,TensorBase(0.1139)
7,0.00972465861293181,16,7,0.11708080757195109,0.5781276457724915,2,4,128,256,TensorBase(0.0501)
8,0.06656000733964902,128,10,0.35667846440744894,0.3424400556399907,6,32,128,128,TensorBase(0.0627)
9,1.869288314335944e-05,64,19,0.19527168535999903,0.4661267619518658,8,4,32,128,TensorBase(0.0542)
10,0.0005610710313797923,128,14,0.21671700651739892,0.1508168727336549,7,4,64,512,TensorBase(0.0333)
11,0.003204369612296283,32,3,0.37229904402082836,0.0276165199980696,5,4,512,64,TensorBase(0.1215)
12,0.002484995040035614,32,7,0.26718543025497166,0.024373109926807024,5,4,256,64,TensorBase(0.0464)
13,0.0015574850280492458,32,7,0.4606595800478117,0.18513449148118227,6,4,64,512,TensorBase(0.0410)
14,0.00011542894037246678,128,16,0.10739306220827546,0.3229362893590316,6,4,64,64,TensorBase(0.0331)
15,0.00011882965370315852,128,16,0.0045633188029716165,0.3224179193700049,7,4,64,512,TensorBase(0.0313)
16,8.192365897951063e-05,128,17,0.0007104962087417892,0.4569835726242906,8,16,64,512,TensorBase(0.0318)
17,0.0005715752592477533,128,12,0.10354499748338511,0.2788464226060035,7,8,64,512,TensorBase(0.0302)
18,0.0006159395634646673,128,12,0.11739881684155648,0.2659975813002316,7,8,256,512,TensorBase(0.0356)
19,1.0406121171591947e-05,128,10,0.6851307433426408,0.15623631666923765,7,8,64,512,TensorBase(0.1897)
20,0.00020170157868919746,16,14,0.07660284363801788,0.2665270204424218,8,8,512,512,TensorBase(0.0340)
21,0.0006840536621486808,128,20,0.04043968581428749,0.4083558047534581,7,32,64,512,TensorBase(0.0303)
22,0.0006315778784270162,128,20,0.18648551116189924,0.3967251297787041,7,32,64,512,TensorBase(0.0323)
23,0.000247345879410411,128,20,0.05817800905846798,0.5403285682991932,7,32,64,512,TensorBase(0.0310)
24,0.00032449878337593335,128,20,0.2634009862665099,0.5311678701432211,8,32,64,512,TensorBase(0.0319)
25,0.0011515714736686057,128,13,0.06778627144305402,0.685810239482019,6,32,64,512,TensorBase(0.0337)
26,6.440070681254849e-05,128,9,0.1542104957582359,0.4081124827197554,7,32,64,128,TensorBase(0.0403)
27,0.0003223783950947107,128,5,0.06101779314093827,0.550732281141984,8,32,512,512,TensorBase(0.0332)
28,4.1362416193881016e-05,64,18,0.2912469179370125,0.5174627421204665,5,32,256,512,TensorBase(0.0377)
29,0.001554153880480974,16,16,0.1438701500524874,0.48551037578395373,5,8,64,32,TensorBase(0.0327)
30,0.0007265626168861017,64,20,0.05265514251359346,0.5791945038209444,7,8,64,512,TensorBase(0.0329)
31,0.0001558514988617649,128,15,0.045197089176789676,0.3100011976300907,7,32,64,512,TensorBase(0.0328)
32,4.503770168341677e-05,128,18,0.024663682067526876,0.21053170215689035,6,32,64,512,TensorBase(0.0320)
33,0.00011349858336047087,128,17,0.09119909066158827,0.3879395235363817,7,16,64,32,TensorBase(0.0337)
34,0.0003967463933190892,128,15,0.0049583423574151575,0.30247252509258726,8,8,128,512,TensorBase(0.0313)
35,0.000368171803364988,128,14,0.1485047387249337,0.42357625216731776,8,8,128,512,TensorBase(0.0321)
36,0.007234829810979915,16,12,0.2222649606544197,0.11234303297449688,4,8,128,256,TensorBase(0.0701)
37,0.0012790381105586605,128,18,0.03228601418627647,0.2818038037070677,8,8,128,32,TensorBase(0.0316)
38,0.0004359322516194191,128,19,0.10403683222215868,0.6359692410579112,6,8,128,512,TensorBase(0.0312)
39,0.002317008633854988,64,19,0.16092303566845448,0.63986480866636,6,16,128,128,TensorBase(0.0554)
40,0.0007872556679628308,128,19,0.10807191468788599,0.6889575380773003,6,32,32,256,TensorBase(0.0302)
41,0.0008714285172369706,128,19,0.09286321271100016,0.696276616852795,6,32,32,256,TensorBase(0.0295)
42,0.0009082116521040709,128,20,0.13458340225997106,0.6967335153145306,6,32,32,256,TensorBase(0.0295)
43,0.0009219512370455072,128,19,0.316771948138707,0.6794168584685237,6,32,32,256,TensorBase(0.0366)
44,0.00437751269898545,128,18,0.1916026419817824,0.6940426902281482,4,32,32,256,TensorBase(0.0326)
45,0.006574983761108015,32,17,0.12065384586270952,0.5854229122298477,5,32,32,256,TensorBase(0.0319)
46,0.0017842713409922419,128,20,0.21812650662115635,0.6108910319138633,5,32,32,256,TensorBase(0.0356)
47,0.0009478211424388329,16,19,0.45702707722404523,0.6658770085515724,6,32,32,256,TensorBase(0.0434)
48,0.0022429394510245604,128,17,0.08280804577553305,0.6546498623846675,6,32,32,256,TensorBase(0.0333)
49,0.0036209873458178422,32,9,0.4090467765260246,0.6039627785253084,6,32,32,256,TensorBase(0.0429)
