trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,4.792153427763642e-05,16,12,0.024364020336130374,0.51171733619722,4,16,512,64,TensorBase(0.0373)
1,0.0011580092788090813,16,15,0.05473231176065981,0.25371374125996626,2,16,256,32,TensorBase(0.0375)
2,0.006024837402879161,64,8,0.3993445023098653,0.031290138900811504,4,16,64,32,TensorBase(0.0505)
3,0.024231081424017777,64,18,0.6555864132206339,0.16522526440258456,8,16,256,256,TensorBase(0.1245)
4,0.001093892175900096,32,10,0.19477022032901356,0.11682096851571298,4,32,128,64,TensorBase(0.0348)
5,0.005534750914335542,32,7,0.2962190540367339,0.38319433148008936,8,16,128,128,TensorBase(0.7929)
6,0.00010234415971959158,32,2,0.6564254858066365,0.044223939298581094,7,8,256,32,TensorBase(0.0955)
7,0.0001586970871392175,128,8,0.09684377615131518,0.02173767865872149,3,8,128,128,TensorBase(0.0351)
8,0.00015384672195916228,64,11,0.6805915263734197,0.2939685162489341,4,32,256,256,TensorBase(0.0397)
9,0.0002964014102762613,64,15,0.172733857997984,0.43816662072842427,6,32,64,512,TensorBase(0.0321)
10,1.6371893667845474e-05,128,20,0.4162648638339758,0.6931670068113545,6,4,64,512,TensorBase(0.1167)
11,0.0008289227652590673,32,15,0.21211617771633082,0.439891908056956,6,32,32,64,TensorBase(0.0327)
12,0.0005237432886320948,32,15,0.21932942936877317,0.461187629511667,6,32,32,512,TensorBase(0.0372)
13,0.08607570969199263,64,16,0.1813644345420746,0.582374231070174,6,32,32,512,TensorBase(0.0474)
14,0.0004735505203677267,32,13,0.3042450917284043,0.3979164928480837,5,32,64,64,TensorBase(0.0372)
15,0.006238175660663547,64,18,0.47439543676110973,0.5614714179948488,7,4,32,512,TensorBase(0.0664)
16,0.0022445139442262047,128,14,0.13079972885632055,0.6527021627414407,5,32,512,64,TensorBase(0.0436)
17,2.3835557157310747e-05,16,17,0.2762136730557876,0.44792221334084614,7,32,64,512,TensorBase(0.0350)
18,0.0004030997142212753,32,20,0.53046050394059,0.31465226795484336,6,32,32,64,TensorBase(0.0444)
19,0.002605065041523896,64,4,0.1333618746226534,0.20699929413304036,5,8,64,128,TensorBase(0.0366)
20,9.244555458073584e-05,64,10,0.3606571417127221,0.47277573132698486,7,4,32,256,TensorBase(0.0453)
21,0.0014653702970923387,32,10,0.21514054615737602,0.12835183421197227,3,32,128,64,TensorBase(0.0323)
22,0.0003099908233528951,32,13,0.23987843361481315,0.34972833303875006,3,32,128,64,TensorBase(0.0319)
23,0.00028973150922201345,32,13,0.26225253715746366,0.139161766961195,2,32,128,64,TensorBase(0.0345)
24,0.0018059840915065901,32,11,0.09426793094445529,0.347032971702544,3,32,128,64,TensorBase(0.0323)
25,0.015128384491684545,32,12,0.07624605060377412,0.36907549632512404,3,32,128,512,TensorBase(0.0576)
26,0.00024116582235659382,16,7,0.012403500278787949,0.3300503549404542,2,32,128,64,TensorBase(0.0353)
27,5.287320597108808e-05,128,13,0.14119422803042245,0.2545957274311077,3,32,128,64,TensorBase(0.0375)
28,0.0029272505011659344,32,17,0.1574978485383988,0.523382978406671,5,4,512,512,TensorBase(0.0442)
29,4.508254062687854e-05,16,11,0.04241892802839872,0.4115961817329501,3,8,512,64,TensorBase(0.0358)
30,0.0006207622335343348,64,12,0.10290262866587281,0.2621662494415053,4,32,64,256,TensorBase(0.0339)
31,0.001524217654374146,32,9,0.25478388447406536,0.07771548281276408,3,32,128,64,TensorBase(0.0359)
32,0.0010282289222818487,32,14,0.3321022151164746,0.20667527874428473,2,32,128,64,TensorBase(0.0324)
33,0.004438633221227695,32,11,0.23657552110781976,0.5187653848601259,4,32,128,32,TensorBase(0.0622)
34,0.0002800262013302861,32,10,0.1749322670825172,0.3557874339985141,2,16,128,64,TensorBase(0.0323)
35,0.00021560534263822525,32,9,0.038884811067006225,0.3450075760712765,2,16,128,64,TensorBase(0.0326)
36,6.378144960092908e-05,16,14,0.15827508958931213,0.288992387684094,2,16,64,32,TensorBase(0.0349)
37,0.0003501767492676568,64,6,0.0014823835171995925,0.21056278312427584,2,16,128,128,TensorBase(0.0311)
38,0.00034683327800300804,64,3,0.36895142731427455,0.38793310167169304,2,16,256,128,TensorBase(0.0388)
39,0.00010372962271934467,64,4,0.18446544021684994,0.22812726274507708,2,16,128,128,TensorBase(0.0470)
40,0.00014574641822061426,64,6,0.00950405841505626,0.41914987991695807,2,16,128,128,TensorBase(0.0315)
41,0.0001639711289878048,64,6,0.0008763018538813022,0.49244871447108574,2,16,128,128,TensorBase(0.0323)
42,0.0006712866707322204,64,6,0.0767074504627746,0.42271210415632005,2,16,128,128,TensorBase(0.0368)
43,3.0103568436179372e-05,64,5,0.043466654887353934,0.17890543386399335,3,16,128,128,TensorBase(0.0529)
44,0.00011856718841951409,64,8,0.11554905960006794,0.3624532943539785,2,16,256,128,TensorBase(0.0334)
45,0.00016340682522271858,64,7,0.060421007610656066,0.2905582707162955,3,16,64,128,TensorBase(0.0366)
46,0.00029018959585803603,64,5,0.30371966550733315,0.4351574756748718,8,16,128,32,TensorBase(0.0426)
47,0.000914900206907896,128,2,0.18693226151216788,0.5599020186845352,2,16,128,128,TensorBase(0.0406)
48,1.1491043581824424e-05,64,16,0.002239756604806391,0.06963434328336754,4,16,512,512,TensorBase(0.0320)
49,1.2495403775495615e-05,64,16,0.019512913370311052,0.00037728059917846446,4,8,512,512,TensorBase(0.0325)
