trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,0.0004090310195020414,128,11,0.6891295067161257,0.32901681813140293,4,32,128,32,TensorBase(0.0404)
1,0.007427952471037635,128,19,0.3644556723287581,0.1517334439274816,3,8,32,256,TensorBase(0.0501)
2,2.8689889532480995e-05,128,20,0.018887086855660748,0.5794007465934154,8,16,128,512,TensorBase(0.0329)
3,1.3006676784942828e-05,16,19,0.18736612914178602,0.30194260748337753,8,32,32,32,TensorBase(0.0459)
4,3.229953908882972e-05,32,8,0.5536546571420283,0.3376060179482568,7,4,32,256,TensorBase(0.1336)
5,0.04407256489554476,128,10,0.36960754033804416,0.6590562059249678,7,8,256,32,TensorBase(0.1248)
6,0.025321488396142774,16,12,0.351912368182356,0.5596216689800463,5,16,256,32,TensorBase(0.1273)
7,0.01673488353148441,32,10,0.36311244442657703,0.18842405665775375,5,4,256,256,TensorBase(0.0648)
8,0.004224156772094318,16,15,0.3032190305036879,0.3009329175597452,2,16,512,32,TensorBase(0.0780)
9,0.05727961077885567,16,16,0.6939064542627604,0.6833049408104861,4,16,64,256,TensorBase(0.1252)
10,0.0001823921132769134,64,5,0.03161931025930999,0.499120350162008,8,16,128,512,TensorBase(0.0330)
11,0.00013276369192693032,64,5,0.010600944391251367,0.5008285728266623,8,16,128,512,TensorBase(0.0324)
12,9.242803476142337e-05,64,2,0.00871195462701642,0.486778909597604,7,16,128,512,TensorBase(0.0400)
13,6.033123568900878e-05,64,6,0.1273925342939468,0.45554245342784244,6,16,128,128,TensorBase(0.0395)
14,0.001047541702197783,128,2,0.14648498138172775,0.043512723445507884,8,16,128,64,TensorBase(0.0445)
15,2.0062947432008713e-05,64,14,0.2309918587853565,0.5913947794065636,6,16,512,512,TensorBase(0.0354)
16,0.0009395084564357761,128,5,0.05999358697101119,0.4101241578978686,6,32,64,512,TensorBase(0.0342)
17,0.00020205920661570137,64,17,0.09687787328779596,0.5847751989054493,8,8,128,512,TensorBase(0.0332)
18,1.0364203303720761e-05,32,13,0.26439631462127733,0.4250693620272923,6,4,128,128,TensorBase(0.0526)
19,4.695729236806254e-05,128,8,0.44896916729251135,0.5456841264207493,7,16,128,64,TensorBase(0.0770)
20,0.0006109532503129035,64,20,0.18260598752913143,0.6376435904221777,8,16,512,512,TensorBase(0.0469)
21,0.00014210857964618538,64,4,0.008683970408628658,0.49652274034530763,8,16,128,512,TensorBase(0.0382)
22,0.0002402776606532646,64,7,0.0894893696968604,0.4001958609783336,7,16,128,512,TensorBase(0.0360)
23,8.735394720139851e-05,64,4,0.04484240716958816,0.514945378166657,8,16,128,512,TensorBase(0.0380)
24,0.0015788883619667188,64,9,3.463932701396749e-05,0.6233591455934285,7,16,64,512,TensorBase(0.0315)
25,0.003607317262060886,64,9,0.09336170526497038,0.6287448366548012,7,16,64,512,TensorBase(0.0471)
26,0.001786642228705939,128,7,0.14654313825898976,0.6944109502099556,7,32,64,64,TensorBase(0.0327)
27,0.0018235491479852153,32,7,0.1618333648830981,0.6838583275173875,6,32,64,64,TensorBase(0.0338)
28,0.0024933740556560206,64,3,0.241698135872766,0.6997023474089418,7,32,64,64,TensorBase(0.0435)
29,0.00031938846376330156,128,11,0.5604667665582469,0.6156732299350579,4,32,64,64,TensorBase(0.0422)
30,0.00942242940140042,128,6,0.09055093519133275,0.538486977557572,5,32,64,128,TensorBase(0.0462)
31,0.0005427905897928295,128,9,0.0032468730658894926,0.5951546159296369,8,32,64,512,TensorBase(0.0307)
32,0.0011673407029096955,128,9,0.06301950067039092,0.6363354513692507,7,32,64,64,TensorBase(0.0322)
33,0.0005022629448629568,128,9,0.05802456045380221,0.6155931843788949,8,32,64,512,TensorBase(0.0361)
34,0.0008284178610427905,128,12,0.00015130929673766447,0.5867458982426987,7,8,64,512,TensorBase(0.0317)
35,0.0007985470806489169,128,12,0.05958370219631154,0.5796777740941039,6,8,64,512,TensorBase(0.0311)
36,0.0005910554903703951,128,12,0.004258013736259003,0.23458333585655344,6,8,32,512,TensorBase(0.0324)
37,0.000385366410673346,128,11,0.11429564192620051,0.5735266495759085,6,8,64,512,TensorBase(0.0332)
38,0.008175228963106882,128,13,0.4107770828105026,0.37220700094547476,4,8,64,512,TensorBase(0.0510)
39,0.00493667705064447,128,11,0.6063041712202137,0.4469249915679244,5,8,32,256,TensorBase(0.1183)
40,0.0009283356969368286,16,10,0.2116404636563631,0.5397131958701066,7,8,64,32,TensorBase(0.0330)
41,0.001425160822675191,128,9,0.05828302525894121,0.6418930745088821,7,8,64,512,TensorBase(0.0319)
42,0.0015557813471444746,128,12,0.04477472174007948,0.6664019095993602,7,8,64,512,TensorBase(0.0314)
43,0.003208691065228218,128,12,0.037452672892875655,0.6621443730071465,7,8,256,512,TensorBase(0.0562)
44,0.0007690876425721752,128,14,0.0013677450541592232,0.5988020705471221,6,8,64,512,TensorBase(0.0315)
45,0.002302382444999451,32,17,0.035968800091048324,0.6635658121305841,5,4,64,256,TensorBase(0.0321)
46,0.00034235202216096824,16,15,0.08217635131040021,0.599536434374303,6,8,64,512,TensorBase(0.0346)
47,0.014664578285065108,128,14,0.1256409688224911,0.0062007729858414296,2,8,256,32,TensorBase(0.0365)
48,0.0007897631646047639,128,13,0.2847051168090875,0.5608162919750824,6,8,512,512,TensorBase(0.0489)
49,0.005809032760136906,128,14,0.18335480145325073,0.135383068434529,6,4,64,128,TensorBase(0.0323)
