trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,0.00021200378636887266,128,4,0.0430192927980261,0.3276646723195028,5,16,64,32,TensorBase(0.0380)
1,0.0002547681721310548,128,6,0.2736550737781549,0.29859041391042496,4,16,128,256,TensorBase(0.0374)
2,0.024444965347724727,32,16,0.28226855055542566,0.20978674659939242,4,16,64,32,TensorBase(0.0531)
3,0.002817159240564934,16,18,0.511505768486734,0.193585365966509,7,8,64,32,TensorBase(0.1000)
4,0.0003494526968985902,32,13,0.3513944256064511,0.30268984069567045,6,32,256,128,TensorBase(0.0376)
5,1.5968147192393833e-05,16,20,0.2926792304795364,0.6785894911369561,4,32,128,256,TensorBase(0.0338)
6,0.00023021129772309717,64,18,0.2995075969145789,0.5411950239404637,4,32,64,64,TensorBase(0.0331)
7,2.2245653082829865e-05,128,18,0.24804815245749492,0.5055492894263718,5,32,256,512,TensorBase(0.0383)
8,1.8898696505106283e-05,64,18,0.6228533830247779,0.22486268635878107,6,4,32,256,TensorBase(0.1011)
9,0.04941032373589413,64,19,0.6073539458215964,0.6310975731514018,5,8,32,128,TensorBase(0.1252)
10,0.008405681206508446,64,10,0.06639817486418656,0.0005011220540585004,2,4,512,64,TensorBase(0.0385)
11,5.7022472359887963e-05,16,14,0.44179950961914694,0.6997761178382669,2,32,128,64,TensorBase(0.0336)
12,9.359889191197012e-05,16,13,0.43605865624832585,0.5274734846131495,2,32,128,64,TensorBase(0.0339)
13,0.0013411612169122273,64,14,0.14436271376860754,0.5216245291927295,3,32,512,64,TensorBase(0.0439)
14,8.594619396142988e-05,16,9,0.44102764313730947,0.5978530415464443,3,32,64,64,TensorBase(0.0359)
15,5.39648800036267e-05,64,15,0.17028053178144853,0.4659199226426266,3,32,128,64,TensorBase(0.0349)
16,0.0008286357895034684,16,8,0.40621073072927183,0.6906276544831016,8,32,128,512,TensorBase(0.0465)
17,0.0007682450862943392,32,16,0.5432148490251524,0.43014050916631086,2,4,64,64,TensorBase(0.0328)
18,0.004223322493625349,32,16,0.5340401520168465,0.3956662470786907,3,4,64,64,TensorBase(0.0790)
19,0.0011956725620792484,32,12,0.6800572640768245,0.41860043363770083,2,4,64,64,TensorBase(0.0352)
20,0.0005894217463749885,32,2,0.5094594830645462,0.5815696183670457,4,4,64,128,TensorBase(0.0409)
21,4.8432837590625946e-05,64,16,0.36302610033679067,0.439326879754628,2,8,64,64,TensorBase(0.0403)
22,0.0001550898558319764,16,11,0.5614766654540029,0.5960220626847492,3,4,512,64,TensorBase(0.0372)
23,0.00048277904359277454,32,17,0.447163246682446,0.6443896516169554,2,32,256,64,TensorBase(0.0312)
24,0.002664881733143969,32,20,0.20601044237678956,0.5491472783325251,3,32,256,512,TensorBase(0.0376)
25,0.00044533772618156954,32,17,0.4881043477083871,0.47787733309834834,6,4,256,64,TensorBase(0.0488)
26,0.010936775383616334,32,17,0.3849578604060641,0.6459324380594927,2,8,256,64,TensorBase(0.0517)
27,0.0014816166250765314,32,20,0.3287772590341028,0.4096461351198462,4,16,32,64,TensorBase(0.0340)
28,0.0004581887783296968,32,15,0.6027300799294478,0.3613740553506729,3,32,256,64,TensorBase(0.0426)
29,0.00020575071733867095,128,19,0.47352719615892197,0.563369646521678,5,16,64,32,TensorBase(0.0387)
30,0.0001490546565131059,64,17,0.6837489029515178,0.030248402603862523,2,4,64,128,TensorBase(0.0387)
31,4.522179441225698e-05,16,14,0.43416596772476834,0.6379714750988761,2,32,128,64,TensorBase(0.0333)
32,3.165636253110626e-05,128,15,0.5754068052785158,0.6208138373735809,2,32,128,64,TensorBase(0.0435)
33,0.00027952259715172454,32,13,0.4153482665023167,0.49157072734822976,3,32,64,64,TensorBase(0.0330)
34,0.0007758041311627119,32,12,0.3220562126451635,0.4907966207025005,4,16,64,256,TensorBase(0.0334)
35,0.0002830753554891088,32,7,0.25420962430466315,0.36073179987276743,3,32,64,32,TensorBase(0.0371)
36,0.002050069448261958,32,16,0.3957105416506528,0.4493277190325388,3,32,64,64,TensorBase(0.0408)
37,0.0003229209217421076,32,5,0.29497724591341007,0.2678358971173609,4,32,64,32,TensorBase(0.0395)
38,0.003930520093047271,128,18,0.47380157036140813,0.543355215320031,4,8,256,256,TensorBase(0.0587)
39,0.00016591002988447864,32,19,0.2205344611611449,0.5097893633162155,5,16,64,512,TensorBase(0.0334)
40,0.00010744959712297107,64,12,0.5367702231979404,0.09512914267435241,3,32,32,64,TensorBase(0.0404)
41,0.00026947224330178983,16,14,0.4098081509583708,0.6577357720447804,2,32,128,64,TensorBase(0.0355)
42,1.3626958083045855e-05,16,17,0.345526528748463,0.6218772083121294,2,32,256,64,TensorBase(0.0453)
43,0.0006045798035376635,32,13,0.44861207391847635,0.6668490343949843,2,32,512,64,TensorBase(0.0458)
44,4.156942609259875e-05,64,15,0.37819222742407466,0.5733559820468676,2,32,64,64,TensorBase(0.0402)
45,8.238971225877476e-05,16,13,0.30037142075786805,0.3322451032818255,3,32,128,128,TensorBase(0.0325)
46,9.730289118348038e-05,32,10,0.30176457795612954,0.3132260043935417,3,4,32,128,TensorBase(0.0341)
47,0.0004135307196085138,128,18,0.08465114233305787,0.24257300786207098,4,32,64,128,TensorBase(0.0324)
48,0.00041497044281250955,128,13,0.016177689172533913,0.17757713020802376,4,32,128,128,TensorBase(0.0328)
49,0.09562708654206335,128,11,0.027332835256702513,0.1534742533367953,4,32,128,128,TensorBase(0.0475)
