trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,6.583514233907951e-05,128,19,0.24783120606037634,0.29445818911718485,3,16,64,128,TensorBase(0.0350)
1,0.0012796851398537866,16,17,0.6864332372198347,0.10127169848604986,6,16,128,128,TensorBase(0.1192)
2,0.008312346861461525,64,18,0.2932035450960253,0.2539338134266733,5,8,128,64,TensorBase(0.0439)
3,1.6102586002372782e-05,64,12,0.4206627662647547,0.6959222155387438,7,16,128,64,TensorBase(0.0702)
4,7.038768995146407e-05,32,3,0.16371304205218648,0.3835310389196129,4,16,512,128,TensorBase(0.0436)
5,0.06707801054747932,16,17,0.6894634626153495,0.6940244209310781,5,4,64,64,TensorBase(0.1230)
6,0.014078680503007363,32,9,0.23068905882995078,0.19974937679846932,4,32,32,64,TensorBase(0.0371)
7,0.0005889063521094749,128,5,0.4074861508895136,0.39995261263569143,8,8,256,32,TensorBase(0.0477)
8,7.294087361950583e-05,64,15,0.08248168462020355,0.6354008467632672,8,16,64,256,TensorBase(0.0323)
9,1.4275201392948452e-05,32,8,0.6202638137284155,0.6067668571727658,8,16,128,512,TensorBase(0.1868)
10,0.0003101934242220515,64,14,0.0058448639052919305,0.5039563771559259,2,4,64,256,TensorBase(0.0301)
11,0.0004000629467424253,64,13,0.012348251199643973,0.5104059027067174,2,4,64,256,TensorBase(0.0304)
12,0.0006237170504972331,64,12,0.02529572335342943,0.5044848363758414,2,4,64,256,TensorBase(0.0313)
13,0.0022431120684103453,64,14,0.010026524518761746,0.5076176737158977,2,4,64,256,TensorBase(0.0316)
14,0.00017923022372512106,64,9,0.0950143121611006,0.5130591132799686,3,4,512,256,TensorBase(0.0324)
15,0.00023852261980206085,64,14,0.13215717765150464,0.4488743072111281,2,4,256,256,TensorBase(0.0319)
16,0.0035087430379574015,64,20,0.526317419229596,0.5741955532468375,3,32,32,32,TensorBase(0.0364)
17,0.00026212586682405957,128,11,0.0034299008381258878,0.016957051723172356,4,4,64,512,TensorBase(0.0302)
18,0.0001484481347792844,128,7,0.18555807031093405,0.009507927406109886,4,4,64,512,TensorBase(0.0414)
19,3.20789377524314e-05,128,10,0.37740325389597223,0.14915727417693753,3,4,64,512,TensorBase(0.0775)
20,0.0017126891414038742,128,11,0.08437489933084526,0.024997905753615768,6,32,32,512,TensorBase(0.0309)
21,0.00041410563280717716,16,15,0.03818193872925473,0.32813442994973474,2,4,64,256,TensorBase(0.0381)
22,0.00033733746056496746,128,13,0.0096827410888496,0.4279746250638463,3,4,64,256,TensorBase(0.0298)
23,0.0001206298758472786,128,16,0.13607903321732612,0.4319017273577385,4,4,64,512,TensorBase(0.0322)
24,0.0008976146650321517,128,6,0.07408708399371053,0.2544533986003896,3,8,512,256,TensorBase(0.0324)
25,0.0002879271354337042,128,11,0.3002726347364275,0.3403387368193536,4,4,64,32,TensorBase(0.0349)
26,0.0033218048884156716,128,13,0.20954221037236473,0.08925115281443419,5,4,256,512,TensorBase(0.0826)
27,4.2068050194102324e-05,128,10,0.12700156546051228,0.45616663029852533,3,4,64,256,TensorBase(0.0378)
28,0.006850969672662,32,13,0.04951822911108847,0.37998968762816776,6,4,64,256,TensorBase(0.0532)
29,0.00011235363180124209,128,19,0.49089329670431936,0.575015840516559,3,32,64,128,TensorBase(0.0399)
30,3.0498010848534712e-05,16,15,0.28591505581511656,0.2456878006934033,4,8,64,512,TensorBase(0.0354)
31,0.000400821250905119,64,13,0.01995816224401918,0.5382363144510127,2,4,64,256,TensorBase(0.0317)
32,0.0009165450017339314,64,12,0.010226390122818665,0.4751381398438244,2,4,64,256,TensorBase(0.0304)
33,0.0010102700145713532,64,12,0.003273250873186343,0.46337152827514233,2,4,64,256,TensorBase(0.0322)
34,0.0008159737859376502,128,17,0.06460332718359459,0.29538062790160546,3,4,128,128,TensorBase(0.0304)
35,0.00145344260166674,64,10,0.11386899767675702,0.40205686757573367,2,4,512,256,TensorBase(0.0488)
36,0.0002650497174988497,16,12,0.147370468911991,0.648332833215333,3,8,64,64,TensorBase(0.0338)
37,8.494799230633149e-05,64,16,0.1866616133128801,0.424690583436454,3,16,32,128,TensorBase(0.0328)
38,0.0290076044895681,32,14,0.057263314388788386,0.5522419005459831,5,4,128,32,TensorBase(0.0523)
39,0.0005593917012442855,128,2,0.09638129302702766,0.3527666658176745,4,4,256,64,TensorBase(0.0426)
40,0.003243325671818589,16,11,0.2596497045104882,0.4681583418730777,2,16,64,256,TensorBase(0.0302)
41,0.005360812686404767,16,11,0.26107791978132544,0.46776046530518384,2,16,64,256,TensorBase(0.0343)
42,0.012760997353038173,16,9,0.3273285759936022,0.47782563002187356,2,16,64,256,TensorBase(0.0350)
43,0.00230791108629657,16,12,0.04967240511441212,0.3682409615665915,3,16,64,256,TensorBase(0.0318)
44,0.00020608714418237097,16,8,0.6216030756766863,0.6122546508839923,2,16,64,256,TensorBase(0.0546)
45,0.0012287866203963998,64,10,0.004588291606270609,0.40854592842847426,5,16,64,256,TensorBase(0.0306)
46,0.0006299786703729005,32,14,0.5048416725628253,0.4933161689880122,2,32,128,256,TensorBase(0.0308)
47,0.004164530891870678,64,16,0.22695443111868938,0.06535264542203581,7,4,64,64,TensorBase(0.0433)
48,0.0022821312505099554,16,8,0.4458234530975727,0.5307392801788154,3,8,512,512,TensorBase(0.0544)
49,0.0952900778164301,64,11,0.03558909770042352,0.3131274590328257,2,4,64,256,TensorBase(0.0594)
