trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,0.06392356951514445,64,8,0.45616459621312966,0.15736776568924762,7,4,64,256,TensorBase(0.1261)
1,0.0041715391897639885,16,2,0.15524006774968724,0.6515008226716562,4,4,128,64,TensorBase(0.0860)
2,0.0007911251993342756,32,16,0.4100332749865234,0.26452001842927814,2,4,64,128,TensorBase(0.0386)
3,0.0005668006614681056,32,5,0.32261818079752913,0.03943138282527998,8,8,64,256,TensorBase(0.0351)
4,0.014932972749375542,16,11,0.06739124122799428,0.42623647234881584,8,8,32,512,TensorBase(0.0582)
5,0.0023017769819456383,128,8,0.45367312020554806,0.15199969891725446,8,16,32,512,TensorBase(0.0617)
6,1.143942458332635e-05,32,8,0.4594228374279258,0.6397458780049923,5,16,512,256,TensorBase(0.0580)
7,1.0640073913456428e-05,32,9,0.043368154554871606,0.1011291294752045,7,4,128,256,TensorBase(0.0384)
8,0.0009310008242163113,32,17,0.47723772078179,0.5723086044788073,2,16,256,256,TensorBase(0.0526)
9,0.00024683706570144176,32,15,0.11793250454894603,0.46275230179972326,3,8,64,32,TensorBase(0.0345)
10,9.849271292566431e-05,64,19,0.6201876158278777,0.4266069802405338,4,32,512,32,TensorBase(0.0350)
11,8.100280222472028e-05,64,20,0.6676357785072289,0.44073016722303204,4,32,512,32,TensorBase(0.0361)
12,0.00011037336911372856,64,15,0.6671597454927826,0.4869624745638598,3,32,512,32,TensorBase(0.0338)
13,0.00016610273063102956,128,15,0.21587496713602022,0.5355037029488735,3,32,256,32,TensorBase(0.0354)
14,4.33810101929473e-05,64,14,0.2773897621472875,0.2957173811270726,3,8,512,32,TensorBase(0.0376)
15,0.00021756636961304613,64,13,0.5883825941382941,0.4972863170829259,3,32,64,32,TensorBase(0.0417)
16,4.3705217407625095e-05,128,12,0.15210510172814912,0.3454315476401414,5,8,64,64,TensorBase(0.0587)
17,0.0002545374794644986,16,18,0.5654914395667989,0.5864746439173872,2,8,512,128,TensorBase(0.0446)
18,0.0026788627265706437,32,16,0.3466578071385039,0.49152497694261627,6,32,32,32,TensorBase(0.0406)
19,2.8000241316323433e-05,64,11,0.002767523202692246,0.253250637783205,3,8,128,32,TensorBase(0.0332)
20,2.2098598919154072e-05,64,10,0.010827460045983221,0.23325254273014262,4,32,128,32,TensorBase(0.0397)
21,3.63441001441335e-05,64,13,0.10378407556572632,0.36750347619495394,3,8,128,32,TensorBase(0.0390)
22,0.0003656241709694929,64,14,0.006662375650859488,0.3687543964113592,3,8,128,32,TensorBase(0.0307)
23,9.534757243602888e-05,64,11,0.22845138821498726,0.35016882133177185,2,8,128,32,TensorBase(0.0367)
24,0.00032573840072816306,64,13,0.6944387358562131,0.2238787535206077,4,8,128,32,TensorBase(0.0392)
25,2.1352237056419126e-05,64,6,0.01708308600227121,0.30985531682925377,3,8,128,512,TensorBase(0.0445)
26,8.579770630680549e-05,64,17,0.5460799615178121,0.39850195079016976,5,32,128,64,TensorBase(0.0377)
27,0.0013098102807303478,64,14,0.21347699946422535,0.6979407555492678,2,16,256,128,TensorBase(0.0315)
28,0.009038850377730702,64,12,0.195963229316813,0.6918514600637222,2,16,256,128,TensorBase(0.0378)
29,0.07793881140752719,64,5,0.0643105226435982,0.17552958573983823,2,16,256,128,TensorBase(0.0476)
30,0.02435807001675159,64,10,0.29323748870953775,0.015760564655587284,6,16,256,128,TensorBase(0.0480)
31,0.0015752606095123596,64,14,0.39034252637323746,0.578949431359236,3,16,256,128,TensorBase(0.0508)
32,0.00044436892761269054,64,15,0.11543234139245113,0.6417742056333384,4,4,128,32,TensorBase(0.0309)
33,0.000452760334750423,16,14,0.10883664935757902,0.6909402496418157,4,4,128,64,TensorBase(0.0358)
34,0.0012524440083843912,64,2,0.16309471783561136,0.6414538391808915,2,4,128,128,TensorBase(0.0354)
35,0.00740602287357213,64,16,0.08020696498377289,0.08559181755344841,5,4,128,32,TensorBase(0.0622)
36,0.0006418665466416223,128,12,0.0022934709844553286,0.6302013695025931,4,4,128,512,TensorBase(0.0312)
37,0.0006535903624393926,128,12,0.14645048768583974,0.60423151249837,4,4,32,512,TensorBase(0.0316)
38,0.003973083129595236,128,16,0.03842754308742869,0.6666180919088617,6,4,128,512,TensorBase(0.0484)
39,0.0004749063993273638,128,17,0.060926673332530906,0.5316246074769623,5,4,128,512,TensorBase(0.0313)
40,0.0005030455127725157,128,18,0.057875216923468406,0.5412126916634451,5,4,128,512,TensorBase(0.0331)
41,0.0016117255296737231,128,17,0.08946555110994513,0.6149145575367999,4,4,128,512,TensorBase(0.0314)
42,0.0007992206177573265,128,18,0.07301386742234285,0.6332527457496894,5,4,128,512,TensorBase(0.0315)
43,0.0004090133832685979,128,17,0.03701080484909701,0.5379040229285319,4,4,128,512,TensorBase(0.0326)
44,0.0019358585540346228,128,19,0.12750288655157482,0.6224715450986243,4,4,128,512,TensorBase(0.0309)
45,0.0028268009091780553,128,19,0.11849227369274379,0.5521203655100159,6,4,128,512,TensorBase(0.0781)
46,0.0008164583891994488,128,20,0.1812416093504396,0.5147636929937603,4,4,128,256,TensorBase(0.0319)
47,0.00015777345361306301,128,19,0.25140322483653177,0.6574953997936466,5,4,128,512,TensorBase(0.0326)
48,0.00034794139377455636,16,15,0.1357612437202863,0.45691418907343856,7,4,32,512,TensorBase(0.0361)
49,0.001855457870663317,128,16,0.045750971088705725,0.6012601050908412,5,4,64,512,TensorBase(0.0319)
