trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,0.0007338468083995194,128,10,0.41305143136145417,0.17760612084105878,7,16,128,128,TensorBase(0.0436)
1,0.011556270583847762,64,8,0.06673096877675218,0.6908269465003964,2,16,32,256,TensorBase(0.0300)
2,5.260285778354878e-05,128,12,0.3233935093219193,0.4934970376924907,8,32,256,32,TensorBase(0.0462)
3,2.0241520163894408e-05,64,12,0.514094165503162,0.2854649297218119,3,4,512,32,TensorBase(0.0464)
4,2.449690287630819e-05,64,14,0.5524870292817102,0.2796104812943441,3,8,64,512,TensorBase(0.0577)
5,0.0013752349642398094,128,16,0.37332067227819415,0.5176065127408093,7,8,64,64,TensorBase(0.0330)
6,0.002494361955470427,128,11,0.22127721355573338,0.59630948276212,4,4,128,128,TensorBase(0.0343)
7,2.6517164985037907e-05,16,12,0.35868287114915626,0.5846427168361219,7,8,128,32,TensorBase(0.0417)
8,0.004164438794803244,64,12,0.6160662580540889,0.4446014996227734,3,8,32,32,TensorBase(0.0447)
9,0.00025424173028177683,64,20,0.09483284081400752,0.5522458432391633,7,4,128,128,TensorBase(0.0315)
10,0.08044778630347812,32,3,0.02382036754669059,0.0023897432970826915,2,16,32,256,TensorBase(0.0534)
11,0.022204055096956277,64,6,0.004832812079698531,0.6997260917867465,5,4,32,256,TensorBase(0.0319)
12,0.00021160357963023813,64,20,0.15590778566862665,0.696013310541632,5,16,512,128,TensorBase(0.0315)
13,0.0001845610495909578,16,6,0.16603780954904518,0.6980572971333185,5,16,512,256,TensorBase(0.0328)
14,0.011255437168361433,32,20,0.20411219814249673,0.4101888063292178,2,16,512,64,TensorBase(0.0447)
15,0.0003298398640322158,64,8,0.11100358384191089,0.620232347471219,4,16,256,512,TensorBase(0.0323)
16,0.007258062677453597,64,17,0.26872596005708377,0.6623635938954834,5,32,32,256,TensorBase(0.0328)
17,0.04018396994431812,64,3,0.10270147370633162,0.1308315957769578,6,16,512,128,TensorBase(0.1146)
18,6.402063439009113e-05,32,7,0.2681374928001333,0.3915134950308731,4,16,512,256,TensorBase(0.0425)
19,0.0008442030359017927,16,9,0.6949757374583364,0.48194978699296653,2,16,32,128,TensorBase(0.0494)
20,9.684797573470683e-05,64,17,0.15625037842067246,0.6399150581904103,6,32,64,64,TensorBase(0.0319)
21,0.00021940805201122013,64,20,0.07838332195841319,0.5463160547569216,8,4,128,128,TensorBase(0.0327)
22,0.0006015526491649996,64,19,0.05807798206846859,0.5548792887076461,6,4,128,128,TensorBase(0.0308)
23,0.00048398694931034555,64,15,0.02875397267364782,0.637802861477986,6,4,256,128,TensorBase(0.0338)
24,0.0015494755904305716,64,18,0.16249744935716937,0.5803459045157566,6,16,32,128,TensorBase(0.0322)
25,0.004708673639883211,64,18,0.06296369410035547,0.6939163939752406,4,16,512,512,TensorBase(0.0524)
26,0.016406634286024287,64,14,0.13174239149651357,0.6469168150409854,5,4,128,256,TensorBase(0.0454)
27,0.002691453018631635,16,5,0.2226136813172016,0.5380179746370024,3,32,128,128,TensorBase(0.0539)
28,0.00012723638796993116,32,18,0.05107068629065985,0.46003732039073997,6,16,32,128,TensorBase(0.0320)
29,0.00042878574899066793,128,9,0.4489429996861594,0.2665133465810635,7,16,512,128,TensorBase(0.0556)
30,0.0007372710277333522,64,19,0.29045527570238033,0.3485108921691852,8,4,128,256,TensorBase(0.0320)
31,0.0002690636915480084,64,20,0.08243922810836038,0.5675658274392372,7,4,128,128,TensorBase(0.0320)
32,1.0887091991146221e-05,64,19,0.12034042898033223,0.6098375030726767,7,4,128,128,TensorBase(0.0408)
33,5.6903575943730696e-05,64,16,0.18412395058569148,0.510557245994136,6,4,128,128,TensorBase(0.0377)
34,0.00012776574700653755,64,20,0.04732463906713216,0.34220960279920937,8,4,256,128,TensorBase(0.0319)
35,0.0005646900093737426,64,14,0.1291540162761451,0.6472724731926267,7,32,64,32,TensorBase(0.0309)
36,0.0013892932808251667,128,13,0.4323478116566031,0.6640753600358906,6,32,64,32,TensorBase(0.0332)
37,0.000517254027951249,64,10,0.32641219244471126,0.6125799311076728,3,32,64,32,TensorBase(0.0316)
38,0.0019392313491193567,128,15,0.24048406137644746,0.6716752870645772,4,32,64,32,TensorBase(0.0301)
39,0.0023358960678913194,128,14,0.23658893244202844,0.663997355520395,2,32,64,32,TensorBase(0.0308)
40,0.002441039016822595,128,11,0.21997262448471228,0.5869603809557647,2,32,64,32,TensorBase(0.0305)
41,0.0028905308579444873,128,11,0.25507716025171845,0.5892129431257449,2,32,64,32,TensorBase(0.0311)
42,0.006743253226192888,128,13,0.3909220700897346,0.5135033415263648,3,32,64,32,TensorBase(0.0358)
43,0.0017880952644880378,128,10,0.3409963927200499,0.6667644176856184,2,32,64,32,TensorBase(0.0313)
44,0.004064193395869749,128,15,0.2930620189350751,0.6012364937981538,2,8,64,32,TensorBase(0.0313)
45,0.0011069341080366469,128,13,0.21807398658678495,0.5575109406785664,3,32,64,32,TensorBase(0.0307)
46,0.000962217544289969,128,12,0.19250612308486284,0.5440536526796095,3,32,64,32,TensorBase(0.0305)
47,0.0010292552467049852,128,11,0.1903509443181945,0.4804037462968394,3,32,64,32,TensorBase(0.0306)
48,0.04546896600770882,128,11,0.19128833654692384,0.4808601380955112,4,32,64,32,TensorBase(0.0485)
49,0.00918014239269897,128,12,0.18736116951647755,0.43536285425862575,3,32,64,32,TensorBase(0.0323)
