trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,0.03544920409593536,32,18,0.10830556768455529,0.6930377328390184,5,16,64,512,TensorBase(0.0435)
1,0.00780084891774456,128,15,0.19510815033307236,0.08445646268400683,6,4,256,32,TensorBase(0.1450)
2,9.223367224680046e-05,128,13,0.3136090019460385,0.6967461247240934,7,4,256,128,TensorBase(0.0395)
3,0.00012144587202752742,16,18,0.5557568503965873,0.11006550855281604,2,8,64,128,TensorBase(0.0362)
4,0.05124163338264438,16,8,0.03761291959050381,0.6555697189569317,3,8,128,256,TensorBase(0.0501)
5,0.00010136185832322128,64,20,0.21329793675405878,0.39396559693825045,8,16,64,128,TensorBase(0.0329)
6,0.05052695637736054,128,6,0.2986534560448636,0.49395214461690023,6,32,512,64,TensorBase(0.1210)
7,0.011194639795346134,64,12,0.020095794270128295,0.12371931929565347,3,4,512,256,TensorBase(0.0464)
8,0.0002919022756993536,128,5,0.4517880224655158,0.553034998405617,8,32,64,512,TensorBase(0.0472)
9,5.940540631192474e-05,128,14,0.05899669424365985,0.3251086717640128,3,8,32,32,TensorBase(0.0428)
10,1.4720073576350612e-05,64,20,0.6742218773083869,0.30969556621131317,8,16,32,128,TensorBase(0.1672)
11,0.0009456552436611025,16,18,0.5383043630958217,0.21047662406859013,5,8,64,128,TensorBase(0.0411)
12,1.2522269478127416e-05,16,20,0.4403983261338954,0.007546775620838109,2,16,64,128,TensorBase(0.0520)
13,0.0003113311965679111,64,16,0.6863788911933899,0.4433471177676079,4,8,64,128,TensorBase(0.0448)
14,7.605413582366884e-05,32,9,0.17200917513758499,0.23802209640372413,2,16,128,64,TensorBase(0.0368)
15,0.0014254823077928262,16,17,0.5663789627840312,0.4125431706622925,7,8,64,128,TensorBase(0.0888)
16,0.0002923878815967016,64,2,0.2191212116605078,0.19769753945676666,4,16,64,128,TensorBase(0.0461)
17,3.2557797501631946e-05,16,20,0.4187729854179783,0.3743480044018868,7,32,64,128,TensorBase(0.0367)
18,0.0011604793814571502,64,11,0.5523277658431638,0.5670463500304004,4,8,512,32,TensorBase(0.0628)
19,0.00014789913847693595,32,18,0.3849202844179886,0.020350899533755087,6,16,128,256,TensorBase(0.0301)
20,0.00215745493045591,32,16,0.3635554319244081,0.27981123507140937,6,16,128,256,TensorBase(0.0523)
21,0.00016464724156854438,32,18,0.26427503609138797,0.05914399140732701,8,16,128,256,TensorBase(0.0314)
22,3.357098361689716e-05,32,19,0.26268987501216884,0.04288683382968465,8,16,128,256,TensorBase(0.0383)
23,0.00017617159198837185,32,16,0.3720136369259497,0.15591818497564552,7,16,128,256,TensorBase(0.0324)
24,0.0005664682975186698,32,15,0.38108455786690665,0.15693325866721564,7,16,128,256,TensorBase(0.0319)
25,0.003120162934541219,32,14,0.4734831518455344,0.006623547747754354,6,16,128,256,TensorBase(0.0619)
26,0.000609719611640369,32,17,0.28040451872770855,0.06970606580067612,7,16,128,256,TensorBase(0.0312)
27,0.0006471285706353922,32,11,0.12078177162891301,0.060512533726459594,6,16,128,256,TensorBase(0.0315)
28,0.0044913092092486355,32,17,0.2825207853801034,0.05493945106641174,8,16,128,256,TensorBase(0.0439)
29,4.3496392246542035e-05,32,18,0.11979885098456874,0.15247649257680101,5,16,128,512,TensorBase(0.0317)
30,0.0001851409170800458,32,18,0.3344550136487707,0.09545556295416285,7,16,32,256,TensorBase(0.0300)
31,0.0001856908257915772,32,18,0.32773221939231556,0.10228702187903405,7,16,32,256,TensorBase(0.0375)
32,0.0005158287708430025,32,17,0.2496203172884274,0.005612169335452263,6,16,32,256,TensorBase(0.0346)
33,0.00017145453132245468,32,15,0.15390041312193867,0.08187770044303867,7,4,256,256,TensorBase(0.0315)
34,0.020530690458676393,32,19,0.3251956361010572,0.04897627559456358,8,16,32,256,TensorBase(0.1169)
35,2.0266708842813048e-05,32,13,0.49110301159618397,0.12005331370926342,7,4,256,64,TensorBase(0.0463)
36,0.00012145542729976685,32,19,0.40198891703787254,0.1879443595843937,6,16,128,512,TensorBase(0.0352)
37,0.000323351043863173,32,17,0.23363448716258903,0.2705979214497293,5,32,32,256,TensorBase(0.0304)
38,0.0005259490528491537,32,14,0.23193634070427033,0.2764298708152709,5,32,32,32,TensorBase(0.0318)
39,0.0003020889957939967,128,16,0.33163306856448765,0.2322334551766833,5,32,32,256,TensorBase(0.0326)
40,0.0943019730135773,32,9,0.18720545461121213,0.1363234321676941,5,32,32,256,TensorBase(0.0516)
41,0.00011586496506132755,32,17,0.28174887894506656,0.094451967356423,6,32,128,256,TensorBase(0.0337)
42,6.018675298886199e-05,32,19,0.3026434848114167,0.0777047313886883,8,4,512,256,TensorBase(0.0304)
43,8.196868852832515e-05,32,19,0.29964502321100805,0.0906521725580534,7,4,512,256,TensorBase(0.0316)
44,4.949239883916056e-05,128,20,0.3546897069447036,0.02328417407116559,8,4,512,256,TensorBase(0.0444)
45,0.00039819276419691187,32,18,0.3949107159891328,0.18881594496793488,6,4,512,64,TensorBase(0.0531)
46,0.001015436347913302,32,19,0.20888014591938295,0.07588105610208955,7,4,32,512,TensorBase(0.0350)
47,0.00022846500641782072,32,13,0.1512350445157312,0.13518912495673674,5,32,512,256,TensorBase(0.0314)
48,2.486876285121087e-05,128,15,0.31113950490703923,0.4829122326714531,8,4,256,32,TensorBase(0.0639)
49,7.556336149771717e-05,16,17,0.43268746298676924,0.030121375512044468,4,32,32,256,TensorBase(0.0368)
