trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,3.3739663023664295e-05,64,15,0.5980486756009298,0.4864745632699872,4,8,128,32,TensorBase(0.0466)
1,0.02452979864519257,16,18,0.008148382237916807,0.62757975127079,3,16,128,32,TensorBase(0.0457)
2,0.004392106016887642,128,17,0.008920552240586587,0.4388200503629545,6,4,64,512,TensorBase(0.0307)
3,0.004306504531568391,32,3,0.392151253105739,0.06685582936134707,4,4,32,64,TensorBase(0.0411)
4,0.07466114682307506,64,19,0.5587705998588328,0.6395007450778892,2,8,32,256,TensorBase(0.0659)
5,0.0002590466152346353,32,12,0.4660503610699504,0.3654837909938079,3,16,32,32,TensorBase(0.0370)
6,0.016042108684089527,128,2,0.600682546980545,0.2409131312841076,3,32,32,256,TensorBase(0.1196)
7,0.00972465861293181,16,7,0.11708080757195109,0.5781276457724915,2,4,128,256,TensorBase(0.0421)
8,0.06656000733964902,128,10,0.35667846440744894,0.3424400556399907,6,32,128,128,TensorBase(0.0596)
9,1.869288314335944e-05,64,19,0.19527168535999903,0.4661267619518658,8,4,32,128,TensorBase(0.0555)
10,0.0005610710313797923,128,14,0.21671700651739892,0.1508168727336549,7,4,64,512,TensorBase(0.0350)
11,0.0008744647128569062,128,14,0.20012290802949817,0.08708195397798371,7,4,64,512,TensorBase(0.0313)
12,0.002484995040035614,128,16,0.018983938932177487,0.024693570363028765,6,4,64,512,TensorBase(0.0313)
13,0.00027272847788216545,128,11,0.2251564998654408,0.2541160679597665,8,4,256,512,TensorBase(0.0344)
14,0.0016586877378335463,128,8,0.12007577128461679,0.43017865672378475,6,4,512,512,TensorBase(0.1759)
15,8.673152434979714e-05,128,17,0.10302381022712954,0.18722435306980562,7,4,64,512,TensorBase(0.0340)
16,0.0005866579557960101,128,14,0.2664954398954572,0.32793763767153317,5,16,64,64,TensorBase(0.0321)
17,0.005738810312190954,32,20,0.2921687037948869,0.5414580591058689,7,8,64,512,TensorBase(0.0878)
18,0.0010811183751748936,16,13,0.6845230528814162,0.10904910132848697,5,32,256,512,TensorBase(0.1826)
19,9.133153607032086e-05,128,16,0.06448332634086007,0.26576293773079007,5,4,64,512,TensorBase(0.0342)
20,0.003018396128472341,128,9,0.1716901582566865,0.42176681657607623,8,4,512,128,TensorBase(0.0706)
21,0.002319789420754481,128,16,9.216107466258894e-05,0.03678879286790312,6,4,64,512,TensorBase(0.0323)
22,0.007519556326262956,128,17,0.04644792758035857,0.0025154887951052037,6,4,64,512,TensorBase(0.0745)
23,0.0008644414372270911,128,13,0.144175401767874,0.12145538681781934,7,4,64,512,TensorBase(0.0339)
24,0.00022649755243169347,128,15,0.05955899644723372,0.06771641590824723,6,4,64,64,TensorBase(0.0332)
25,0.027422843695299633,128,6,0.2866577744321021,0.21169261093032482,7,4,64,512,TensorBase(0.1256)
26,0.001851811943810141,64,17,0.07713244769681198,0.6964754355964273,6,8,64,512,TensorBase(0.0332)
27,0.011386579997302037,16,20,0.013368860776097731,0.0090981874149148,4,32,512,512,TensorBase(0.0499)
28,0.003375292292973961,32,12,0.16075945264020614,0.2991505696150406,5,16,256,512,TensorBase(0.0457)
29,0.0012426125083185582,64,15,0.2445481422676315,0.3872386362446667,7,8,64,32,TensorBase(0.0317)
30,7.418047321777601e-05,128,16,0.40676691580061125,0.1570967490484717,8,4,64,256,TensorBase(0.0437)
31,0.0010945013893050252,64,14,0.2449019414534916,0.40327638966848356,7,8,64,32,TensorBase(0.0319)
32,0.0004672647333623007,64,15,0.3048270889124358,0.5208479375347832,7,8,64,32,TensorBase(0.0326)
33,0.0046085084882947795,64,18,0.3491984073999154,0.46827897134076946,6,8,64,32,TensorBase(0.0498)
34,0.0015349835941198843,64,18,0.020970681715135997,0.3715351703696088,7,8,128,32,TensorBase(0.0334)
35,0.021688486777771625,64,12,0.10145067192367074,0.07390624611700819,6,16,64,32,TensorBase(0.0528)
36,0.0003231598435511853,32,15,0.4407393163865201,0.5187561130292585,4,8,64,64,TensorBase(0.0320)
37,0.003130621768166889,16,19,0.1818832727502009,0.2998232835380008,5,4,256,32,TensorBase(0.0932)
38,0.00016186833991241719,128,13,0.3343582940830809,0.5953736395751646,8,32,128,256,TensorBase(0.0400)
39,0.0007331426448547875,64,5,0.49267057858001595,0.3886749377584471,7,4,32,128,TensorBase(0.0428)
40,0.034567027164192084,32,11,0.13426560670508006,0.44744914669160596,6,16,512,32,TensorBase(0.1383)
41,0.001678553905630869,64,14,0.24259186992058593,0.3663051487007428,7,8,64,32,TensorBase(0.0339)
42,0.0009032341764573105,64,16,0.21181196491803467,0.405302715428389,7,8,64,32,TensorBase(0.0317)
43,0.005622497663610171,64,18,0.20333843146177094,0.5044492818316947,6,8,64,32,TensorBase(0.0554)
44,0.0011616516245896383,64,16,0.09694695954247759,0.32683725077719494,8,8,64,32,TensorBase(0.0308)
45,0.000408790470936481,128,17,0.09428083457781453,0.11307627842799872,8,8,32,512,TensorBase(0.0417)
46,0.0025231738451475957,64,16,0.040381709127184154,0.20105772757897986,8,4,64,256,TensorBase(0.0322)
47,0.009898898596710153,16,19,0.1292597754067278,0.5599304964371655,8,4,128,128,TensorBase(0.1033)
48,0.0008199073301281254,128,18,0.03732901685345546,0.32496013515502375,2,8,64,64,TensorBase(0.0313)
49,0.00017267250214924616,128,18,0.027569295253021403,0.33725869960176347,2,32,64,64,TensorBase(0.0313)
