trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,2.10696258956065e-05,16,11,0.1963675786001262,0.680087675755562,4,32,32,256,TensorBase(0.0470)
1,0.01139419670658237,16,16,0.5995413031305206,0.22066010442960032,2,16,512,32,TensorBase(0.0613)
2,6.664948619970039e-05,32,19,0.1430653620158108,0.09368054684296873,8,8,64,64,TensorBase(0.0331)
3,0.07249911455293054,32,9,0.15198195799335473,0.4443018918547968,3,32,256,512,TensorBase(0.1571)
4,0.0004693695958210407,64,18,0.5473892300319481,0.3936067945888086,2,32,32,32,TensorBase(0.0360)
5,0.0002979765487937239,32,2,0.3823411516147511,0.37141046673986733,5,4,128,512,TensorBase(0.0423)
6,0.0015937012023907314,32,9,0.38571383328292896,0.1504223390001165,4,32,512,128,TensorBase(0.0519)
7,2.6311813468602428e-05,16,9,0.5988745564377224,0.07410148071878564,7,8,32,256,TensorBase(0.1017)
8,0.06954743050307029,64,6,0.31403591260299046,0.1518067958674937,8,32,512,64,TensorBase(0.1261)
9,0.011342817140228056,32,18,0.5036639299042507,0.16107828436915464,5,4,256,512,TensorBase(0.0552)
10,7.27970945230493e-05,128,14,0.016962582710979862,0.006385111373993169,7,8,64,64,TensorBase(0.0333)
11,8.073116109454247e-05,128,15,0.035903050112943,0.05806521540975196,7,8,64,64,TensorBase(0.0356)
12,9.413704598939591e-05,128,20,0.005472780218190447,0.0034465566666143435,8,8,64,64,TensorBase(0.0325)
13,0.00013477418993847827,128,20,0.1511678293964723,0.24162027209071196,8,8,64,64,TensorBase(0.0359)
14,0.0019035519646738205,128,20,0.0637964485302291,0.5021640126105544,6,8,64,64,TensorBase(0.0317)
15,0.002314526200255476,128,13,0.00936802183936132,0.5346916763258647,6,16,64,128,TensorBase(0.0306)
16,0.00213462015733851,128,13,0.2672988487328408,0.5687404756068734,6,16,128,128,TensorBase(0.0347)
17,0.005593719901532561,128,4,0.08374150278134132,0.5038566002687582,6,16,64,128,TensorBase(0.0359)
18,0.0008708155402608435,128,12,0.2407130828699393,0.6141566250127743,6,16,64,128,TensorBase(0.0340)
19,0.0036175542006022716,128,16,0.07738472009848585,0.5008217046683182,4,16,64,128,TensorBase(0.0317)
20,0.022622897228540186,64,16,0.45876403725466536,0.3089779142292752,4,16,256,128,TensorBase(0.0510)
21,0.003218776059829502,128,17,0.6917281484668123,0.5042962158193848,5,16,64,128,TensorBase(0.1385)
22,0.0006632473021877871,128,14,0.08696127450303526,0.530059180113938,6,16,64,128,TensorBase(0.0339)
23,0.0053479101966681436,128,11,0.09550692668308984,0.4388370215890487,3,16,64,128,TensorBase(0.0305)
24,0.004837950556723766,128,11,0.1095482828502019,0.42230455804780265,3,16,64,128,TensorBase(0.0330)
25,0.023843481357666573,128,10,0.21858111116122453,0.6304158165114108,3,16,128,128,TensorBase(0.0476)
26,0.008384390372511845,128,12,0.007105599421494647,0.452878235828959,4,16,64,128,TensorBase(0.0342)
27,0.027730803365627346,128,6,0.12206567831992342,0.34382186483388794,3,4,64,128,TensorBase(0.0538)
28,0.00032272801291283903,16,7,0.17353151702212447,0.6085193485559254,5,16,64,32,TensorBase(0.0365)
29,1.0259769755589359e-05,64,13,0.2819262183554323,0.6744770357206449,4,16,32,256,TensorBase(0.0994)
30,0.001252369103697029,16,15,0.209264375067128,0.6944598055705271,2,16,256,256,TensorBase(0.0429)
31,0.0026804412832394566,128,18,0.05761241492199999,0.4855595435397149,6,8,64,128,TensorBase(0.0322)
32,0.004459861235731596,128,17,0.05879131234322606,0.5606431309235284,7,16,64,32,TensorBase(0.0327)
33,0.0014923500516027912,128,11,0.07651204114590698,0.552435008429819,3,4,512,64,TensorBase(0.0481)
34,0.007572876408288758,128,15,0.1854685418987857,0.4658215608132216,4,16,64,128,TensorBase(0.0317)
35,0.007661945189766832,128,15,0.17653207715245756,0.3161100014326272,4,16,64,128,TensorBase(0.0452)
36,0.016294567703708192,16,13,0.11707491079161944,0.4512248137846148,2,16,32,128,TensorBase(0.0332)
37,0.050939283171607,32,16,0.15675786751550336,0.4001402304486845,5,16,128,512,TensorBase(0.0460)
38,0.013599867657810216,128,12,0.1242649249843727,0.470496981176075,3,32,512,128,TensorBase(0.0766)
39,0.0041264863455085345,64,10,0.34746784443218814,0.4201125242687212,4,16,64,128,TensorBase(0.0372)
40,0.008487298654577993,32,8,0.042459584946296154,0.36292483339634296,4,32,32,32,TensorBase(0.0323)
41,0.0021905519939172994,128,17,0.09488524522915176,0.5254405075679347,5,8,64,512,TensorBase(0.0319)
42,0.000649497066812778,128,14,0.037728268863143025,0.5873449175629026,6,16,64,256,TensorBase(0.0323)
43,0.0020070252388274513,128,19,0.0009950160147596254,0.5207210628542401,3,8,64,64,TensorBase(0.0317)
44,0.006679887165751791,128,19,0.040684891594574356,0.4775650749878553,7,4,64,128,TensorBase(0.0482)
45,0.0010695713440758,128,14,0.19734349561530187,0.4240737920655837,5,8,256,64,TensorBase(0.0337)
46,0.0037028674540026084,128,15,0.1377642794585143,0.6505510958835535,4,16,64,128,TensorBase(0.0314)
47,0.00367657219728897,16,15,0.1328914162476804,0.6551908897677413,4,16,512,128,TensorBase(0.0595)
48,0.010463312158563373,32,16,0.1543669095980329,0.6362334078977173,4,16,64,128,TensorBase(0.0624)
49,0.03481148326108753,128,10,0.2399256628476511,0.5872369504214688,2,16,64,128,TensorBase(0.0424)
