trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,0.06392356951514445,64,8,0.45616459621312966,0.15736776568924762,7,4,64,256,TensorBase(0.1239)
1,0.0041715391897639885,16,2,0.15524006774968724,0.6515008226716562,4,4,128,64,TensorBase(0.0514)
2,0.0007911251993342756,32,16,0.4100332749865234,0.26452001842927814,2,4,64,128,TensorBase(0.0346)
3,0.0005668006614681056,32,5,0.32261818079752913,0.03943138282527998,8,8,64,256,TensorBase(0.0320)
4,0.014932972749375542,16,11,0.06739124122799428,0.42623647234881584,8,8,32,512,TensorBase(0.0531)
5,0.0023017769819456383,128,8,0.45367312020554806,0.15199969891725446,8,16,32,512,TensorBase(0.0559)
6,1.143942458332635e-05,32,8,0.4594228374279258,0.6397458780049923,5,16,512,256,TensorBase(0.0525)
7,1.0640073913456428e-05,32,9,0.043368154554871606,0.1011291294752045,7,4,128,256,TensorBase(0.0394)
8,0.0009310008242163113,32,17,0.47723772078179,0.5723086044788073,2,16,256,256,TensorBase(0.0418)
9,0.00024683706570144176,32,15,0.11793250454894603,0.46275230179972326,3,8,64,32,TensorBase(0.0319)
10,9.849271292566431e-05,64,19,0.6201876158278777,0.4266069802405338,4,32,512,32,TensorBase(0.0341)
11,0.00014954495067586295,32,2,0.26780558705006013,0.024330893549348746,5,8,64,32,TensorBase(0.0511)
12,0.00016155739421408192,128,13,0.2381460884080781,0.3270847010075516,3,8,64,32,TensorBase(0.0351)
13,0.0003358720867474471,32,4,0.28614637842201507,0.4950343534788136,6,8,64,128,TensorBase(0.0380)
14,4.33810101929473e-05,32,15,0.18753389592531472,0.26118156000991816,3,8,256,64,TensorBase(0.0338)
15,0.005144683972884875,32,5,0.6236402753696757,0.491715789428457,6,32,64,32,TensorBase(0.1110)
16,0.0005002570346465194,64,13,0.1304095235729813,0.3569028034460932,4,8,64,32,TensorBase(0.0367)
17,4.0879891113965515e-05,16,20,0.355050122432908,0.004395590537684554,3,8,64,256,TensorBase(0.0326)
18,0.0021062884380870814,128,5,0.33642603667546267,0.24921915890721094,6,8,512,128,TensorBase(0.1119)
19,0.021203357779273575,32,11,0.002767523202692246,0.5463548413107021,7,32,32,64,TensorBase(0.0430)
20,0.00026790620786719036,32,14,0.09536559559973859,0.3791760212475536,2,8,256,512,TensorBase(0.0345)
21,4.376685026134229e-05,16,20,0.5511913967369841,0.012659185599663956,3,8,64,256,TensorBase(0.0384)
22,3.9187957854945537e-05,16,17,0.3632095674467657,0.11314568781201542,3,8,64,256,TensorBase(0.0358)
23,4.746889681572547e-05,16,19,0.21812370851214782,0.08497666372378557,4,8,64,256,TensorBase(0.0351)
24,0.00011202086413997057,16,18,0.3350847508317051,0.19752700011467075,5,8,64,256,TensorBase(0.0384)
25,2.1352237056419126e-05,16,11,0.5331781501457933,0.05594996878570664,3,8,128,32,TensorBase(0.0581)
26,0.00041602018924534906,64,20,0.3945204088846025,0.005784032586086833,2,8,64,256,TensorBase(0.0306)
27,0.0015527848960594228,64,14,0.38567286794837186,0.21190227776968157,8,16,64,256,TensorBase(0.0484)
28,0.0005041589522505829,64,6,0.2920104669898617,0.146138386942323,2,32,64,32,TensorBase(0.0347)
29,0.0002515967876324937,64,9,0.6744923366127493,0.0689254415858419,2,4,64,256,TensorBase(0.0429)
30,0.0005945782792721789,64,16,0.42029458598863184,0.31622840473205344,5,8,32,64,TensorBase(0.0323)
31,0.0005971076236698282,64,16,0.5103673791056088,0.3098354402926862,7,8,32,64,TensorBase(0.0363)
32,0.0012651070946962286,64,18,0.426098944369995,0.47449503888438493,5,8,32,64,TensorBase(0.0412)
33,0.00362969225217251,64,13,0.16239263470630202,0.5690821685859433,4,8,32,64,TensorBase(0.0328)
34,0.00033930405514130213,64,17,0.40294191587068956,0.40782392835935866,6,4,128,64,TensorBase(0.0355)
35,0.00018250325974380265,64,15,0.30384278997269465,0.6745186854904273,2,8,32,128,TensorBase(0.0322)
36,8.20052482324514e-05,128,12,0.2213515180996739,0.6972515139704133,2,8,512,128,TensorBase(0.0354)
37,0.00021012966425049153,32,9,0.3083437526198196,0.6269935522480906,2,16,32,128,TensorBase(0.0326)
38,0.010334834807367237,32,15,0.10987004741979227,0.6707421203316694,2,4,256,128,TensorBase(0.0461)
39,8.040308506777237e-05,64,10,0.2656714524006011,0.6066341577869632,3,8,128,512,TensorBase(0.0351)
40,0.08443912098829545,32,7,0.47665665069248175,0.12234550720583623,2,16,64,128,TensorBase(0.1243)
41,0.000687259817052483,64,16,0.4389312831547899,0.5299718136225174,4,8,32,256,TensorBase(0.0396)
42,0.0010782344089602504,64,15,0.3881379270707556,0.04551806834682938,7,8,32,512,TensorBase(0.0590)
43,0.00044909083949621714,64,18,0.31787806986277434,0.17563363723540798,8,8,32,128,TensorBase(0.0318)
44,0.00016878461198247663,64,19,0.31512226694882733,0.17873469197636221,8,8,32,128,TensorBase(0.0342)
45,0.00031419342065037157,128,18,0.26300227130783427,0.03820566120269261,8,8,32,128,TensorBase(0.0317)
46,0.0008254548483559106,128,18,0.17762580502357406,0.0354897395055067,8,32,512,128,TensorBase(0.0437)
47,0.0003899725466397539,128,20,0.24490408242098521,0.09101392632245284,7,8,64,32,TensorBase(0.0331)
48,0.0017938614233589496,128,2,0.2022852118558361,0.16758249686298854,8,4,64,128,TensorBase(0.0459)
49,0.003322469238682903,32,19,0.3595202918870938,0.0019248931528554436,8,8,256,256,TensorBase(0.0458)
