trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,2.10696258956065e-05,16,11,0.1963675786001262,0.680087675755562,4,32,32,256,TensorBase(0.0430)
1,0.01139419670658237,16,16,0.5995413031305206,0.22066010442960032,2,16,512,32,TensorBase(0.1224)
2,6.664948619970039e-05,32,19,0.1430653620158108,0.09368054684296873,8,8,64,64,TensorBase(0.0320)
3,0.07249911455293054,32,9,0.15198195799335473,0.4443018918547968,3,32,256,512,TensorBase(0.2687)
4,0.0004693695958210407,64,18,0.5473892300319481,0.3936067945888086,2,32,32,32,TensorBase(0.0330)
5,0.0002979765487937239,32,2,0.3823411516147511,0.37141046673986733,5,4,128,512,TensorBase(0.0423)
6,0.0015937012023907314,32,9,0.38571383328292896,0.1504223390001165,4,32,512,128,TensorBase(0.0470)
7,2.6311813468602428e-05,16,9,0.5988745564377224,0.07410148071878564,7,8,32,256,TensorBase(0.1001)
8,0.06954743050307029,64,6,0.31403591260299046,0.1518067958674937,8,32,512,64,TensorBase(0.0994)
9,0.011342817140228056,32,18,0.5036639299042507,0.16107828436915464,5,4,256,512,TensorBase(0.1230)
10,7.27970945230493e-05,128,14,0.016962582710979862,0.006385111373993169,7,8,64,64,TensorBase(0.0323)
11,8.073116109454247e-05,128,15,0.035903050112943,0.05806521540975196,7,8,64,64,TensorBase(0.0349)
12,9.413704598939591e-05,128,20,0.005472780218190447,0.0034465566666143435,8,8,64,64,TensorBase(0.0319)
13,0.00013477418993847827,128,20,0.1511678293964723,0.24162027209071196,8,8,64,64,TensorBase(0.0337)
14,0.0019035519646738205,128,20,0.0637964485302291,0.5021640126105544,6,8,64,64,TensorBase(0.0313)
15,0.002314526200255476,128,13,0.00936802183936132,0.5346916763258647,6,16,64,128,TensorBase(0.0307)
16,0.00213462015733851,128,13,0.2672988487328408,0.5687404756068734,6,16,128,128,TensorBase(0.0309)
17,0.00652233845085474,128,14,0.2751188491067872,0.565841381079995,6,16,128,128,TensorBase(0.0476)
18,0.002651570092021118,128,12,0.4648247594109502,0.6269330587064428,6,16,128,128,TensorBase(0.1079)
19,0.000682957745932898,128,12,0.24088935715976612,0.5252220773879273,4,16,128,128,TensorBase(0.0315)
20,0.005040414968785334,64,6,0.09200187487037773,0.6001857041703594,6,16,128,128,TensorBase(0.0415)
21,0.0013376282349880247,128,16,0.6917281484668123,0.49939521078621935,6,16,64,128,TensorBase(0.1102)
22,0.02780212544204006,128,13,0.08708585324360549,0.4794856019546425,5,16,64,128,TensorBase(0.0404)
23,0.0033239082166196814,128,17,0.08241141690070677,0.6867261135818231,7,16,64,128,TensorBase(0.0314)
24,0.001312410371580141,128,4,0.21752135902687253,0.2978167710425653,6,4,256,32,TensorBase(0.0487)
25,0.00024603186117378356,128,10,0.05938665070896162,0.4353097554620512,5,16,128,256,TensorBase(0.0328)
26,0.016390946357144637,128,7,0.30926778023981216,0.5515777336002429,7,16,64,128,TensorBase(0.0462)
27,0.0025300430004518344,128,13,0.1166254948848097,0.6205988346641148,5,8,64,128,TensorBase(0.0302)
28,0.004150500460991046,16,14,0.13402574135569126,0.6050917945518305,5,4,128,128,TensorBase(0.0463)
29,0.0007738339656714128,64,11,0.1838231594407552,0.6464410848650175,4,16,32,128,TensorBase(0.0310)
30,0.03549367758967075,16,12,0.2412218308248954,0.6949329017073943,3,8,256,256,TensorBase(0.0608)
31,0.0006158124667102928,64,11,0.18929143279554642,0.6316100393679239,4,16,32,128,TensorBase(0.0319)
32,0.000797034791845085,64,13,0.17931474699798047,0.6515771797186013,3,16,32,128,TensorBase(0.0322)
33,0.008745633407048703,64,11,0.12006092631869028,0.5669246155916341,4,16,32,128,TensorBase(0.0311)
34,0.002245376670524984,64,15,0.2666166444144297,0.6551911849323458,5,16,32,128,TensorBase(0.0313)
35,1.0619736923100202e-05,16,10,0.18191801445571065,0.5861711383210048,4,16,512,32,TensorBase(0.0435)
36,0.0004365743856282356,64,8,0.11707491079161944,0.43561464025738084,6,32,32,512,TensorBase(0.0388)
37,0.00020353961175444563,128,13,0.36441698163707453,0.5364222090913546,2,16,64,128,TensorBase(0.0328)
38,0.0011001501179742606,32,16,0.4174842913423682,0.33898724376325406,3,8,512,128,TensorBase(0.0455)
39,0.0032411023089656044,64,10,0.3227270413442852,0.46841753727553226,5,32,32,32,TensorBase(0.0337)
40,0.0004190806388350894,32,15,0.050015678323869134,0.6560897019341968,4,4,128,512,TensorBase(0.0353)
41,0.008598813639188187,64,11,0.11744296524708268,0.5712695820869342,4,16,32,128,TensorBase(0.0306)
42,0.016851359830380542,64,11,0.2153598605685392,0.6156745319497964,5,16,32,128,TensorBase(0.0351)
43,0.00697157298596121,64,12,0.16532543232731167,0.3980555638621011,4,16,32,128,TensorBase(0.0318)
44,0.0018953296818659208,64,9,0.0013957943314074212,0.5726566815674641,5,16,32,128,TensorBase(0.0310)
45,0.004615960636598915,128,8,0.005655844725270675,0.5221645076851961,5,8,256,256,TensorBase(0.0543)
46,0.001657996876791312,64,9,0.02424173617702164,0.5815010610459086,6,32,64,128,TensorBase(0.0310)
47,0.012504308060070756,16,13,0.036770470791249454,0.47714091136617237,6,32,64,128,TensorBase(0.0515)
48,0.0025895699393680654,128,14,0.09018538703669947,0.5465268778730881,7,32,64,512,TensorBase(0.0300)
49,0.006615756476590833,128,17,0.12759713615424115,0.4102492497626448,7,32,64,512,TensorBase(0.0383)
