trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,0.00021200378636887266,128,4,0.0430192927980261,0.3276646723195028,5,16,64,32,TensorBase(0.0379)
1,0.0002547681721310548,128,6,0.2736550737781549,0.29859041391042496,4,16,128,256,TensorBase(0.0362)
2,0.024444965347724727,32,16,0.28226855055542566,0.20978674659939242,4,16,64,32,TensorBase(0.0543)
3,0.002817159240564934,16,18,0.511505768486734,0.193585365966509,7,8,64,32,TensorBase(0.1280)
4,0.0003494526968985902,32,13,0.3513944256064511,0.30268984069567045,6,32,256,128,TensorBase(0.0396)
5,1.5968147192393833e-05,16,20,0.2926792304795364,0.6785894911369561,4,32,128,256,TensorBase(0.0367)
6,0.00023021129772309717,64,18,0.2995075969145789,0.5411950239404637,4,32,64,64,TensorBase(0.0310)
7,2.2245653082829865e-05,128,18,0.24804815245749492,0.5055492894263718,5,32,256,512,TensorBase(0.0367)
8,1.8898696505106283e-05,64,18,0.6228533830247779,0.22486268635878107,6,4,32,256,TensorBase(0.0961)
9,0.04941032373589413,64,19,0.6073539458215964,0.6310975731514018,5,8,32,128,TensorBase(0.1226)
10,0.008405681206508446,64,10,0.06639817486418656,0.0005011220540585004,2,4,512,64,TensorBase(0.0351)
11,0.0040458786520710145,64,10,0.021761444599951052,0.02521231359936124,2,4,512,64,TensorBase(0.0459)
12,0.009709809468268719,64,10,0.15719473131652859,0.462324605920051,2,4,512,64,TensorBase(0.0462)
13,0.0010976459818398032,64,13,0.4243703103785844,0.03359866267835062,3,4,512,64,TensorBase(0.0474)
14,8.594619396142988e-05,64,7,0.14193340150578276,0.49021287179436734,3,32,512,64,TensorBase(0.0355)
15,0.0011034256024913794,64,14,0.15575591244378909,0.5762348021159367,3,4,64,64,TensorBase(0.0320)
16,0.0008286357895034684,64,15,0.14700027445683597,0.5741959235106218,8,32,64,512,TensorBase(0.0350)
17,6.535735503712172e-05,16,14,0.4175326372324179,0.5748236213504363,3,8,64,64,TensorBase(0.0320)
18,8.8498806481413e-05,16,16,0.4574012862698897,0.4453138481823918,3,8,64,64,TensorBase(0.0326)
19,5.571953519483346e-05,16,12,0.4262723940648921,0.4040155449371444,4,8,64,64,TensorBase(0.0379)
20,6.677523060717078e-05,16,2,0.5291695718407418,0.6950233931804026,6,8,64,128,TensorBase(0.0675)
21,0.0007279598478089135,32,15,0.36489481962210135,0.5554402689169025,3,32,64,64,TensorBase(0.0332)
22,0.0017120747249537952,16,15,0.21051836954497086,0.5960220626847492,3,4,64,64,TensorBase(0.0304)
23,0.00017343197239808378,16,17,0.2298919847791068,0.634364069732536,4,8,64,64,TensorBase(0.0307)
24,0.00040570960635995164,16,17,0.21725966731002427,0.6216635665011214,4,8,256,512,TensorBase(0.0317)
25,0.00241039382618963,16,19,0.20496203190860218,0.3997235784083466,4,32,64,64,TensorBase(0.0311)
26,0.0001565174533760147,16,20,0.31212185973262807,0.642947004307458,5,4,32,64,TensorBase(0.0335)
27,0.0017522988165483764,16,16,0.1000577835199307,0.5020933173593479,2,16,128,64,TensorBase(0.0334)
28,0.0005344411514494709,32,12,0.1943209928581838,0.545889398228345,4,4,64,64,TensorBase(0.0323)
29,0.00018280693487418155,128,17,0.33096001679109266,0.6318976680027173,5,16,64,32,TensorBase(0.0364)
30,0.00675515359219299,128,17,0.23503909596847886,0.41308163092412387,3,8,64,128,TensorBase(0.0315)
31,0.002104913111048877,16,19,0.2177757960483482,0.3827907152276975,4,32,64,64,TensorBase(0.0345)
32,0.00023397155054687526,16,20,0.09646793549968558,0.5231638237983794,4,32,64,64,TensorBase(0.0334)
33,0.021210410380163462,16,19,0.26180202992529134,0.35618059732609125,4,32,64,64,TensorBase(0.0673)
34,0.0044387936513141475,16,15,0.19066903236324215,0.4517574952067728,5,32,128,256,TensorBase(0.0584)
35,0.0017716170827455442,16,8,0.6954210414767524,0.5985486636401652,4,16,64,32,TensorBase(0.0631)
36,3.557635471267095e-05,32,18,0.2868856343201218,0.6652870972842417,3,32,64,64,TensorBase(0.0399)
37,0.00013819023279380838,128,16,0.3672017523178275,0.2597087567740317,7,32,256,32,TensorBase(0.0419)
38,0.0002606081118500897,16,18,0.2658769362289175,0.3348056727238904,6,16,128,256,TensorBase(0.0333)
39,0.0005418944706453789,16,19,0.10019783956091763,0.5347661603729108,4,32,32,512,TensorBase(0.0352)
40,0.09109591646494238,16,17,0.31732292862744205,0.09512914267435241,5,8,64,64,TensorBase(0.1237)
41,0.011353186819940205,128,17,0.24683729991845987,0.39471515660156964,3,8,64,128,TensorBase(0.0322)
42,0.005250374721695392,128,19,0.22697348703631312,0.29013559668555977,3,8,64,128,TensorBase(0.0318)
43,0.0030424428781061904,128,20,0.1705986444708968,0.42262749144681505,2,8,64,128,TensorBase(0.0298)
44,0.0027026996597157805,128,19,0.1825354442570961,0.4345714251074289,2,8,64,128,TensorBase(0.0297)
45,0.0031991627528707434,128,20,0.05834467239187727,0.48791801109648486,2,8,64,128,TensorBase(0.0308)
46,0.0032046484014877684,128,20,0.008009303522361982,0.4885693214316644,2,8,256,128,TensorBase(0.0313)
47,0.017051846128849458,128,20,0.07329465140845326,0.43419557908037903,2,8,64,128,TensorBase(0.0300)
48,0.01567399136427251,128,18,0.12093091583326235,0.3568987613731461,2,8,32,128,TensorBase(0.0304)
49,0.016997361986738676,128,18,0.11812255111804955,0.3646083009225213,2,8,32,128,TensorBase(0.0308)
